label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72
0,0.0,0.0,0.0,-0.0013312697410583496,-0.02037319540977478,0.004753249544883431,-0.006025969982147217,-0.038619548082351685,0.004487172547960938,-0.012507736682891846,-0.0496862530708313,0.002822547300020517,-0.02022653818130493,-0.05372434854507446,0.0009490653395189952,-0.004631996154785156,-0.04834038019180298,-0.000646703563397466,-0.01739400625228882,-0.06958238780498505,-0.005674417283152877,-0.029801249504089355,-0.07343623042106628,-0.008890572156524001,-0.03836017847061157,-0.0714569240808487,-0.010160212557529746,-0.006479740142822266,-0.0459270179271698,-0.005286985695128976,-0.01899874210357666,-0.06945450603961945,-0.008785749006783306,-0.0312233567237854,-0.07314445078372955,-0.00997561883530551,-0.040051400661468506,-0.0708732008934021,-0.01060004268190795,-0.010516345500946045,-0.04051285982131958,-0.00970219929120475,-0.021234571933746338,-0.06481371819972992,-0.011979842711006938,-0.03224217891693115,-0.06863202154636383,-0.012487378123914539,-0.04043078422546387,-0.06689868867397308,-0.01282077949843341,-0.01596766710281372,-0.03303641080856323,-0.013678666356717883,-0.024669170379638672,-0.05034157633781433,-0.015412693064426719,-0.03262460231781006,-0.05564829707145691,-0.015538778308545886,-0.03969883918762207,-0.05615714192390442,-0.015509143624221622,162.06828120012977,139.0527142288481,134.89603194770282,132.80593594406272,149.59782362185243,145.36943077192444,118.98267965784859,114.72170939257946,159.37584174240655,134.95467546328229
0,0.0,0.0,0.0,-0.002146780490875244,-0.020231187343597412,0.00463791175792494,-0.006913185119628906,-0.03809058666229248,0.0046094882586089625,-0.012954294681549072,-0.04873615503311157,0.0030754633066294446,-0.0198858380317688,-0.05302289128303528,0.0013322052131456985,-0.00656437873840332,-0.04804861545562744,0.0005846870648724689,-0.018349647521972656,-0.06816302239894867,-0.0043717526546629415,-0.02990955114364624,-0.07155406475067139,-0.0078076721816273675,-0.037680864334106445,-0.06866215169429779,-0.009240698692849492,-0.00841432809829712,-0.04577362537384033,-0.004016167642078017,-0.020177364349365234,-0.06897197663784027,-0.007626620279154395,-0.03154271841049194,-0.0724233090877533,-0.009130823118141507,-0.03949415683746338,-0.06832070648670197,-0.00979586846148095,-0.012326717376708984,-0.04002660512924194,-0.008517482010176991,-0.022964298725128174,-0.0636298656463623,-0.010773079161992882,-0.03343605995178223,-0.06806056201457977,-0.011663715047291134,-0.04098093509674072,-0.06544829905033112,-0.012153535773506974,-0.01770550012588501,-0.03193289041519165,-0.012612876174500798,-0.026838719844818115,-0.04825049638748169,-0.014078130637756203,-0.03455400466918945,-0.05358627438545227,-0.014294302714517926,-0.04124540090560913,-0.05352690815925598,-0.0143146511814507,162.9521924803479,137.6715989022679,134.02344679824918,137.13529878489996,153.10104746366923,142.6518333979419,130.03303713876636,124.9076880952419,143.37775336351223,136.51530096575223
0,0.0,0.0,0.0,-0.004894375801086426,-0.019217461347579956,0.0035306761965442357,-0.011217236518859863,-0.03718993067741394,0.0032633852206457314,-0.0183413028717041,-0.047357261180877686,0.0018080218687940297,-0.025851905345916748,-0.052409201860427856,-1.6027986919353587e-05,-0.010961174964904785,-0.04745635390281677,-7.571954846541384e-05,-0.023651540279388428,-0.06656529009342194,-0.0049166004646282735,-0.03433561325073242,-0.07540175318717957,-0.008485720074520642,-0.043619632720947266,-0.0790453851222992,-0.010423657997296387,-0.012307703495025635,-0.04529142379760742,-0.004613978369877869,-0.024233102798461914,-0.06707555055618286,-0.008393831132696206,-0.035872459411621094,-0.07628342509269714,-0.010776485829399163,-0.04615640640258789,-0.08017855882644653,-0.012299219659314686,-0.015376865863800049,-0.03863021731376648,-0.009094905621157223,-0.026250600814819336,-0.06232857704162598,-0.012371547101781899,-0.03685849905014038,-0.07145029306411743,-0.014492152771697575,-0.0457921028137207,-0.07590894401073456,-0.015890870756254727,-0.020417332649230957,-0.028503090143203735,-0.01315671722476297,-0.029416203498840332,-0.04250726103782654,-0.016163837677584225,-0.03704702854156494,-0.050306230783462524,-0.017377034342632824,-0.04416757822036743,-0.055350422859191895,-0.0180113004062038,162.5497857157474,162.87319967633607,156.96040567381337,155.1985613516338,166.4830293678041,160.49254573748067,146.34613547428654,92.82776934194167,145.18319716602588,151.070200527237
0,0.0,0.0,0.0,-0.00021117925643920898,-0.019289404153823853,0.004480239193576097,-0.004126906394958496,-0.03667202591896057,0.0044053720344479075,-0.009874165058135986,-0.04731288552284241,0.0027464536984140864,-0.016608238220214844,-0.052001744508743286,0.0010101238299782267,-0.004061579704284668,-0.04787534475326538,0.0007382493500287524,-0.01638239622116089,-0.06820550560951233,-0.004278105028284074,-0.02785027027130127,-0.06899458169937134,-0.007617072943908454,-0.0340237021446228,-0.0636419951915741,-0.008903193563533307,-0.006242573261260986,-0.0460125207901001,-0.0037358329131578216,-0.0182381272315979,-0.06893777847290039,-0.007258973826033355,-0.029425859451293945,-0.06870481371879578,-0.008470287822497369,-0.03546750545501709,-0.06145113706588745,-0.008847462289345742,-0.010426640510559082,-0.041066259145736694,-0.00813161236823845,-0.02144014835357666,-0.06427004933357239,-0.01030250107528019,-0.03191643953323364,-0.06403309106826782,-0.010734612398159982,-0.03763937950134277,-0.05783072113990784,-0.010857496686590196,-0.01588541269302368,-0.03425401449203491,-0.01216564913870144,-0.024922847747802734,-0.05077281594276428,-0.013718459099841596,-0.032545387744903564,-0.05345311760902405,-0.013676064364922524,-0.03796869516372681,-0.050634682178497314,-0.013393794462395192,161.8148607011353,126.62282811136402,116.83495830222846,114.1055343639074,137.39360640331,134.30804671056168,89.15645994768278,145.63765228674612,150.23083275486096,125.79769888847088
0,0.0,0.0,0.0,-0.003520667552947998,-0.01742863655090332,0.003733594428995346,-0.007969200611114502,-0.03382217884063721,0.004200034301975464,-0.012466132640838623,-0.04435113072395325,0.0033993630132318486,-0.01780557632446289,-0.05086365342140198,0.0025688568058104266,-0.006936490535736084,-0.0430222749710083,0.0027034704035759916,-0.015374720096588135,-0.061195433139801025,-0.0009148784519492636,-0.02489006519317627,-0.06988789141178131,-0.0038805105795471917,-0.0336727499961853,-0.07336843013763428,-0.005546812906613852,-0.008700966835021973,-0.04240277409553528,-0.0011417267450450908,-0.016756296157836914,-0.0625830888748169,-0.004033200915655399,-0.026169180870056152,-0.07089252769947052,-0.006077751058837677,-0.0349995493888855,-0.07421138882637024,-0.007377253386875893,-0.011963307857513428,-0.039369136095047,-0.0050245672536402,-0.019903063774108887,-0.060423046350479126,-0.007026184823116566,-0.028544306755065918,-0.06846220791339874,-0.00839871075724652,-0.03641235828399658,-0.0715690553188324,-0.00936415512835076,-0.016437947750091553,-0.03433710336685181,-0.008654505952945257,-0.024429798126220703,-0.04780134558677673,-0.010086985312154795,-0.03146350383758545,-0.05423048138618469,-0.010644116446128393,-0.03835010528564453,-0.05743548274040222,-0.011002090766778494,168.71674866899315,157.11460796414343,153.03312534673992,153.2636509780866,161.86005858164117,155.15515390015557,141.35538108229835,109.843565095975,145.43728894248562,151.19859766529893
0,0.0,0.0,0.0,-0.005076229572296143,-0.01885971426963806,0.004625068503180785,-0.010804355144500732,-0.03581354022026062,0.004508511154661221,-0.016767680644989014,-0.0462283194065094,0.002903927574614329,-0.02332615852355957,-0.05100622773170471,0.0012699441199472972,-0.008789300918579102,-0.04721474647521973,-5.115822340684417e-05,-0.02081620693206787,-0.06545846164226532,-0.004931038254191833,-0.03205406665802002,-0.06593933701515198,-0.007999590606679874,-0.03800088167190552,-0.061005473136901855,-0.009191197351803737,-0.009859919548034668,-0.04491272568702698,-0.004561434974213796,-0.022078633308410645,-0.06577910482883453,-0.007881044418802219,-0.032825350761413574,-0.06558269262313843,-0.0090154493313932,-0.038410067558288574,-0.059160321950912476,-0.009510746234347778,-0.012773513793945312,-0.038959383964538574,-0.008895313375880676,-0.02430856227874756,-0.058690935373306274,-0.011054105134000736,-0.03348058462142944,-0.057370275259017944,-0.01134730410694118,-0.037982046604156494,-0.051096707582473755,-0.0115241278049254,-0.017214596271514893,-0.03061753511428833,-0.012845384896984058,-0.02754455804824829,-0.042238086462020874,-0.01435721014558311,-0.03509521484375,-0.04301026463508606,-0.014353874148120838,-0.04011493921279907,-0.039867401123046875,-0.01418679860352512,165.6779666052141,127.32969361755889,119.64538422890254,112.07687848674995,136.66365481245415,136.47193195495262,77.01317663525153,154.86527522630777,164.31702722394274,129.21689742600267
0,0.0,0.0,0.0,-0.0115622878074646,-0.01200053095817566,0.00022685489155804817,-0.017916083335876465,-0.03008824586868286,-0.0007592828268698781,-0.022057414054870605,-0.04247501492500305,-0.002927697708322796,-0.025180518627166748,-0.04967215657234192,-0.004586055388166699,-0.006395220756530762,-0.052185624837875366,0.001969793599606362,-0.009377598762512207,-0.07393410801887512,-0.004729272311045918,-0.01857292652130127,-0.0764799416065216,-0.010031878927215132,-0.025741934776306152,-0.07151031494140625,-0.012526243904098067,-0.0026175975799560547,-0.0515005886554718,-0.0011385112092412442,-0.006706833839416504,-0.07440158724784851,-0.006718687226488385,-0.016901791095733643,-0.07654169201850891,-0.009971155764027628,-0.023985743522644043,-0.07053247094154358,-0.011225150877102408,0.0009878873825073242,-0.0490170419216156,-0.005090665516867432,-0.002712249755859375,-0.07021212577819824,-0.00891451814906219,-0.012747108936309814,-0.0733971893787384,-0.009962292367085013,-0.020025789737701416,-0.06948155164718628,-0.009923240148886237,0.0043999552726745605,-0.044310182332992554,-0.00939065215872148,0.0014026165008544922,-0.060755521059036255,-0.011832777389749083,-0.005278825759887695,-0.066782146692276,-0.012286188991232905,-0.01129823923110962,-0.06717327237129211,-0.012051308506592306,171.72970841491795,118.058729576608,114.54050079273709,117.89663340169498,141.70945462538347,150.8593798530829,54.78336363061915,148.95727117032968,146.83875544893772,131.9872577772606
0,0.0,0.0,0.0,-0.010002374649047852,-0.016445696353912354,-0.00464911806039936,-0.015524864196777344,-0.03346908092498779,-0.009135655598868198,-0.01950395107269287,-0.04455602169036865,-0.013806203851629562,-0.02228468656539917,-0.051217615604400635,-0.01812020922653801,0.0032999515533447266,-0.05265247821807861,-0.005533179739643401,-0.007596194744110107,-0.05417776107788086,-0.013884820515443153,-0.016572773456573486,-0.045194655656814575,-0.01987121115081436,-0.020129680633544922,-0.038569897413253784,-0.023035267839361495,0.01043611764907837,-0.041802287101745605,-0.007729345938344068,-0.00032979249954223633,-0.04407566785812378,-0.014598218264211482,-0.012431085109710693,-0.035102009773254395,-0.016493633860875434,-0.01645195484161377,-0.028078675270080566,-0.016669802839089698,0.014483630657196045,-0.02679726481437683,-0.010913389275003738,0.004418015480041504,-0.028772085905075073,-0.017894842201997108,-0.0073850154876708984,-0.021355658769607544,-0.01649923669748432,-0.01137465238571167,-0.015504270792007446,-0.014133241498996085,0.015928804874420166,-0.010350733995437622,-0.014600180560876197,0.006322979927062988,-0.010606974363327026,-0.01910277130656368,-0.003077268600463867,-0.0069525837898254395,-0.017186979303289718,-0.006705045700073242,-0.0037392377853393555,-0.014576743828285998,170.6339839943605,133.46860384682472,128.37728895149047,122.68689760300663,137.25232735238149,41.312145251213536,128.14485245774716,159.7421220675653,166.0106147269863,55.29698124226763
0,0.0,0.0,0.0,-0.01149207353591919,-0.011028051376342773,-0.004901995517215596,-0.018648803234100342,-0.025336384773254395,-0.00889040400078045,-0.02417171001434326,-0.034525513648986816,-0.012796104520461427,-0.029311180114746094,-0.04136744141578674,-0.015983919247887002,-0.004098951816558838,-0.056568294763565063,-0.0036589311043684347,-0.01592177152633667,-0.0542604923248291,-0.01254798342277752,-0.021909356117248535,-0.04208528995513916,-0.01866515782465683,-0.023875713348388672,-0.03352463245391846,-0.021522652923962937,0.004706978797912598,-0.05124330520629883,-0.005251077569923268,-0.0077931880950927734,-0.04745429754257202,-0.012573128200969563,-0.014644265174865723,-0.03268316388130188,-0.014680661827227937,-0.01570218801498413,-0.02532300353050232,-0.01468569283177601,0.01164931058883667,-0.04042625427246094,-0.00806124378730999,0.0004659295082092285,-0.03660130500793457,-0.014710084170005189,-0.006164729595184326,-0.02404952049255371,-0.013136253327033387,-0.00655055046081543,-0.018705904483795166,-0.010614275567135678,0.016854286193847656,-0.02667054533958435,-0.011498149119219647,0.007241189479827881,-0.023209363222122192,-0.015237724043331013,0.0015114545822143555,-0.015533238649368286,-0.013244867890975343,0.0014426708221435547,-0.012347221374511719,-0.010531279824576245,170.5806277621733,133.2195928331845,129.50672636573964,125.01108311884707,133.6717985103736,47.72362217075184,118.3314025195764,165.02244413415292,159.20225376817058,39.27449571880988
0,0.0,0.0,0.0,-0.016830742359161377,-0.004857301712036133,-0.0031623758062551133,-0.0311620831489563,-0.014440357685089111,-0.0064311487752775065,-0.0413053035736084,-0.020808160305023193,-0.009874422490952384,-0.05128741264343262,-0.024239957332611084,-0.013754249938187968,-0.02351433038711548,-0.03351128101348877,-0.006921440285054814,-0.033374905586242676,-0.04611125588417053,-0.014120084621367823,-0.04080408811569214,-0.050289005041122437,-0.019648080148158442,-0.04816257953643799,-0.05240902304649353,-0.023215434901771914,-0.01402735710144043,-0.03684365749359131,-0.009747218728421103,-0.017427384853363037,-0.05389079451560974,-0.015443301216123473,-0.02047431468963623,-0.061742931604385376,-0.019578869842348468,-0.023475587368011475,-0.06797465682029724,-0.022563039712963473,-0.003991901874542236,-0.034788310527801514,-0.01315184907650746,-0.004680991172790527,-0.05059128999710083,-0.019457561351714503,-0.006900906562805176,-0.05895373225212097,-0.022715761714039218,-0.009599149227142334,-0.06656903028488159,-0.024955439769087207,0.0058640241622924805,-0.02852112054824829,-0.016689029910025965,0.01076585054397583,-0.039612382650375366,-0.022490452431497943,0.01382213830947876,-0.04720550775527954,-0.024382097103057276,0.01591867208480835,-0.05451798439025879,-0.02558532675391234,172.22012069006269,157.5822381516281,166.3634055079893,166.76787051777166,165.2473533630105,111.96334430042404,125.68971546500542,140.4129298622308,158.4834189659984,171.23878116115304
